epoch	batch	accuracy	avg_momentum	transfer_rate	false_positive_rate	false_negative_rate
1	1	0.9600	4.5692	0.7600	0.0200	0.0200
1	2	0.9800	4.9736	0.5800	0.0200	0.0000
1	3	0.9600	8.3564	0.7800	0.0200	0.0200
1	4	0.9800	10.9019	0.7000	0.0000	0.0200
1	5	1.0000	10.1184	0.6200	0.0000	0.0000
1	6	1.0000	11.8621	0.6000	0.0000	0.0000
1	7	0.9800	13.1195	0.6800	0.0000	0.0200
1	8	1.0000	13.4266	0.6600	0.0000	0.0000
1	9	1.0000	15.0679	0.7200	0.0000	0.0000
1	10	1.0000	16.2272	0.7600	0.0000	0.0000
1	11	1.0000	16.7196	0.7800	0.0000	0.0000
1	12	0.9800	14.5779	0.6800	0.0200	0.0000
1	13	1.0000	18.9594	0.8200	0.0000	0.0000
1	14	1.0000	15.3831	0.6600	0.0000	0.0000
1	15	0.9800	16.5067	0.8000	0.0200	0.0000
1	16	1.0000	12.9817	0.5600	0.0000	0.0000
1	17	1.0000	14.5903	0.7000	0.0000	0.0000
1	18	1.0000	16.6101	0.6800	0.0000	0.0000
1	19	1.0000	15.7190	0.6400	0.0000	0.0000
1	20	1.0000	17.1995	0.7200	0.0000	0.0000
1	21	1.0000	14.5873	0.6600	0.0000	0.0000
1	22	1.0000	16.6599	0.7400	0.0000	0.0000
1	23	1.0000	19.7505	0.8800	0.0000	0.0000
1	24	0.9800	14.9325	0.7200	0.0000	0.0200
1	25	1.0000	14.7734	0.6400	0.0000	0.0000
1	26	1.0000	17.0122	0.7800	0.0000	0.0000
1	27	0.9800	16.9181	0.7000	0.0000	0.0200
1	28	1.0000	15.2971	0.6400	0.0000	0.0000
1	29	1.0000	15.5273	0.6800	0.0000	0.0000
1	30	1.0000	15.5871	0.7000	0.0000	0.0000
1	31	1.0000	20.1093	0.8000	0.0000	0.0000
1	32	1.0000	13.1330	0.6400	0.0000	0.0000
1	33	0.9800	15.3450	0.6800	0.0200	0.0000
1	34	1.0000	18.5515	0.7400	0.0000	0.0000
1	35	0.9800	15.5809	0.6800	0.0000	0.0200
1	36	0.9800	12.9415	0.6400	0.0000	0.0200
1	37	1.0000	17.4980	0.7400	0.0000	0.0000
1	38	1.0000	16.5697	0.7200	0.0000	0.0000
1	39	1.0000	17.2420	0.7000	0.0000	0.0000
1	40	1.0000	17.1885	0.7800	0.0000	0.0000
2	1	1.0000	15.4480	0.6200	0.0000	0.0000
2	2	1.0000	14.8747	0.6800	0.0000	0.0000
2	3	1.0000	15.4014	0.6800	0.0000	0.0000
2	4	0.9800	16.9862	0.6800	0.0000	0.0200
2	5	1.0000	15.0113	0.6200	0.0000	0.0000
2	6	1.0000	15.9361	0.8000	0.0000	0.0000
2	7	0.9800	15.6542	0.6600	0.0000	0.0200
2	8	1.0000	13.2330	0.6400	0.0000	0.0000
2	9	1.0000	14.0314	0.6000	0.0000	0.0000
2	10	1.0000	16.6648	0.7400	0.0000	0.0000
2	11	1.0000	16.8323	0.7200	0.0000	0.0000
2	12	1.0000	17.2033	0.7200	0.0000	0.0000
2	13	1.0000	16.0765	0.6600	0.0000	0.0000
2	14	1.0000	17.2342	0.7200	0.0000	0.0000
2	15	0.9800	16.3945	0.7200	0.0200	0.0000
2	16	1.0000	16.5991	0.7200	0.0000	0.0000
2	17	0.9800	15.0503	0.6600	0.0000	0.0200
2	18	1.0000	17.6012	0.7400	0.0000	0.0000
2	19	1.0000	15.6696	0.7400	0.0000	0.0000
2	20	0.9600	17.0597	0.8000	0.0400	0.0000
2	21	1.0000	17.3907	0.7000	0.0000	0.0000
2	22	1.0000	15.2461	0.6600	0.0000	0.0000
2	23	1.0000	16.8881	0.7800	0.0000	0.0000
2	24	0.9800	16.2982	0.6800	0.0000	0.0200
2	25	1.0000	19.2172	0.8200	0.0000	0.0000
2	26	0.9800	16.0987	0.7200	0.0000	0.0200
2	27	1.0000	15.1899	0.6400	0.0000	0.0000
2	28	1.0000	16.4041	0.7200	0.0000	0.0000
2	29	0.9800	14.6156	0.6800	0.0000	0.0200
2	30	0.9800	15.6565	0.7200	0.0200	0.0000
2	31	1.0000	13.7125	0.6800	0.0000	0.0000
2	32	0.9800	16.7960	0.7400	0.0200	0.0000
2	33	1.0000	18.3684	0.7600	0.0000	0.0000
2	34	1.0000	13.5570	0.6600	0.0000	0.0000
2	35	0.9600	15.4999	0.6800	0.0200	0.0200
2	36	1.0000	18.6791	0.7600	0.0000	0.0000
2	37	1.0000	14.5497	0.6600	0.0000	0.0000
2	38	1.0000	20.5804	0.8600	0.0000	0.0000
2	39	1.0000	16.2395	0.6800	0.0000	0.0000
2	40	1.0000	14.9252	0.6600	0.0000	0.0000
3	1	1.0000	16.5357	0.7000	0.0000	0.0000
3	2	1.0000	16.0894	0.7000	0.0000	0.0000
3	3	1.0000	14.4930	0.6800	0.0000	0.0000
3	4	1.0000	15.4962	0.6400	0.0000	0.0000
3	5	1.0000	16.4427	0.7400	0.0000	0.0000
3	6	0.9800	15.8471	0.7200	0.0200	0.0000
3	7	1.0000	17.9942	0.7200	0.0000	0.0000
3	8	1.0000	15.1013	0.6800	0.0000	0.0000
3	9	1.0000	18.7187	0.8200	0.0000	0.0000
3	10	0.9800	19.3158	0.8000	0.0200	0.0000
3	11	1.0000	14.0849	0.6200	0.0000	0.0000
3	12	1.0000	14.9571	0.7200	0.0000	0.0000
3	13	0.9800	16.9130	0.6800	0.0000	0.0200
3	14	0.9800	17.6568	0.7000	0.0000	0.0200
3	15	1.0000	16.9394	0.7400	0.0000	0.0000
3	16	1.0000	16.1525	0.7000	0.0000	0.0000
3	17	0.9800	16.4011	0.7800	0.0000	0.0200
3	18	1.0000	13.2943	0.6200	0.0000	0.0000
3	19	0.9800	14.9040	0.6200	0.0000	0.0200
3	20	1.0000	13.3134	0.6000	0.0000	0.0000
3	21	0.9800	14.1012	0.6400	0.0000	0.0200
3	22	0.9800	15.7269	0.6600	0.0200	0.0000
3	23	1.0000	15.4431	0.6400	0.0000	0.0000
3	24	1.0000	15.3605	0.6800	0.0000	0.0000
3	25	1.0000	14.1338	0.6800	0.0000	0.0000
3	26	1.0000	16.4742	0.7200	0.0000	0.0000
3	27	0.9800	17.0761	0.7600	0.0200	0.0000
3	28	1.0000	16.9075	0.7400	0.0000	0.0000
3	29	1.0000	14.1346	0.6600	0.0000	0.0000
3	30	1.0000	14.9811	0.7000	0.0000	0.0000
3	31	0.9400	16.0781	0.7200	0.0200	0.0400
3	32	1.0000	16.7596	0.7200	0.0000	0.0000
3	33	1.0000	15.8711	0.6800	0.0000	0.0000
3	34	1.0000	17.5386	0.7600	0.0000	0.0000
3	35	1.0000	15.4041	0.7000	0.0000	0.0000
3	36	1.0000	16.5492	0.7000	0.0000	0.0000
3	37	1.0000	16.4514	0.7400	0.0000	0.0000
3	38	0.9800	18.2718	0.7400	0.0200	0.0000
3	39	1.0000	18.3986	0.7400	0.0000	0.0000
3	40	1.0000	19.9791	0.8200	0.0000	0.0000
4	1	1.0000	15.6396	0.6400	0.0000	0.0000
4	2	0.9600	17.1192	0.7800	0.0200	0.0200
4	3	1.0000	14.3397	0.6600	0.0000	0.0000
4	4	0.9800	13.3926	0.6200	0.0000	0.0200
4	5	1.0000	15.1678	0.6800	0.0000	0.0000
4	6	1.0000	12.1297	0.5400	0.0000	0.0000
4	7	1.0000	16.3220	0.7200	0.0000	0.0000
4	8	0.9800	17.2545	0.7200	0.0000	0.0200
4	9	1.0000	17.2698	0.7800	0.0000	0.0000
4	10	1.0000	15.1181	0.6600	0.0000	0.0000
4	11	1.0000	19.1657	0.8400	0.0000	0.0000
4	12	1.0000	20.3500	0.7600	0.0000	0.0000
4	13	1.0000	15.9670	0.7000	0.0000	0.0000
4	14	1.0000	16.3558	0.6800	0.0000	0.0000
4	15	1.0000	12.7774	0.6200	0.0000	0.0000
4	16	1.0000	15.3094	0.6800	0.0000	0.0000
4	17	0.9800	13.6496	0.5400	0.0000	0.0200
4	18	0.9800	16.6282	0.6800	0.0000	0.0200
4	19	1.0000	14.6973	0.6800	0.0000	0.0000
4	20	1.0000	17.7311	0.8200	0.0000	0.0000
4	21	1.0000	17.2728	0.7200	0.0000	0.0000
4	22	1.0000	18.7982	0.8000	0.0000	0.0000
4	23	0.9800	14.7637	0.6400	0.0200	0.0000
4	24	1.0000	14.4950	0.6600	0.0000	0.0000
4	25	1.0000	17.8422	0.7600	0.0000	0.0000
4	26	0.9800	17.2171	0.7200	0.0000	0.0200
4	27	0.9800	15.3102	0.6800	0.0000	0.0200
4	28	1.0000	15.4520	0.6800	0.0000	0.0000
4	29	1.0000	14.6058	0.6400	0.0000	0.0000
4	30	1.0000	21.2615	0.9000	0.0000	0.0000
4	31	0.9600	16.7681	0.7400	0.0400	0.0000
4	32	1.0000	15.6637	0.7000	0.0000	0.0000
4	33	1.0000	19.0633	0.7800	0.0000	0.0000
4	34	1.0000	17.3250	0.7200	0.0000	0.0000
4	35	1.0000	17.0865	0.7800	0.0000	0.0000
4	36	0.9800	15.1101	0.6600	0.0200	0.0000
4	37	0.9800	16.3654	0.7400	0.0200	0.0000
4	38	1.0000	16.5937	0.7000	0.0000	0.0000
4	39	1.0000	13.3302	0.6000	0.0000	0.0000
4	40	1.0000	17.1408	0.7600	0.0000	0.0000
5	1	1.0000	18.5604	0.7800	0.0000	0.0000
5	2	1.0000	18.7472	0.7800	0.0000	0.0000
5	3	1.0000	15.9724	0.7400	0.0000	0.0000
5	4	0.9800	14.7445	0.6600	0.0000	0.0200
5	5	1.0000	17.4388	0.7000	0.0000	0.0000
5	6	0.9800	14.8095	0.6800	0.0200	0.0000
5	7	1.0000	18.2460	0.7400	0.0000	0.0000
5	8	1.0000	15.8562	0.7000	0.0000	0.0000
5	9	0.9800	17.1396	0.7200	0.0000	0.0200
5	10	1.0000	16.5519	0.6800	0.0000	0.0000
5	11	1.0000	16.2250	0.7000	0.0000	0.0000
5	12	0.9800	12.8388	0.5800	0.0200	0.0000
5	13	1.0000	18.0431	0.7800	0.0000	0.0000
5	14	1.0000	17.3108	0.7400	0.0000	0.0000
5	15	1.0000	14.3180	0.6600	0.0000	0.0000
5	16	1.0000	17.1793	0.8000	0.0000	0.0000
5	17	1.0000	14.2013	0.6400	0.0000	0.0000
5	18	1.0000	18.3421	0.6800	0.0000	0.0000
5	19	1.0000	15.9537	0.7600	0.0000	0.0000
5	20	1.0000	16.2183	0.7800	0.0000	0.0000
5	21	1.0000	16.5828	0.7400	0.0000	0.0000
5	22	0.9800	15.4116	0.6800	0.0000	0.0200
5	23	0.9800	18.6501	0.7800	0.0000	0.0200
5	24	1.0000	17.3397	0.7400	0.0000	0.0000
5	25	0.9800	15.8377	0.7400	0.0200	0.0000
5	26	1.0000	13.3141	0.5800	0.0000	0.0000
5	27	1.0000	16.2125	0.7200	0.0000	0.0000
5	28	1.0000	18.4024	0.8000	0.0000	0.0000
5	29	0.9800	17.3842	0.7600	0.0000	0.0200
5	30	1.0000	13.2419	0.5600	0.0000	0.0000
5	31	1.0000	17.1021	0.7400	0.0000	0.0000
5	32	0.9800	16.4302	0.7000	0.0200	0.0000
5	33	1.0000	16.0094	0.6600	0.0000	0.0000
5	34	1.0000	14.3448	0.6600	0.0000	0.0000
5	35	1.0000	17.0330	0.7600	0.0000	0.0000
5	36	1.0000	16.6380	0.6800	0.0000	0.0000
5	37	0.9400	15.7797	0.6600	0.0200	0.0400
5	38	1.0000	13.6349	0.6000	0.0000	0.0000
5	39	0.9800	16.8954	0.7000	0.0200	0.0000
5	40	1.0000	13.8460	0.6200	0.0000	0.0000